courseId,id,subType,optionCount,subDescript,option0,option1,option2,option3,answer
138,71368,单选题,4,综合分析国际国内形势和我国发展条件，把我国建成社会主义现代化强国可以分两个阶段来安排。第一个阶段，从（）到（），在全面建成小康社会的基础上，基本实现社会主义现代化。,2020年2035年,2025年2040年,2030年2045年,2035年本世纪中叶,A
138,71380,单选题,4,习近平总书记在徐州考察时强调，必须始终高度重视发展壮大实体经济，抓实体经济一定要抓好（）。,高科技产业,装备制造业,核心技术攻关,制造业,D
138,71406,单选题,4,关于深化机构和行政体制改革，以下说法不正确的是（）。,赋予省级及以下政府更多自主权,深化简政放权，建设人民满意的服务型政府,在省市县对职能相近的党政机关全面实行合署办公,统筹考虑各类机构设置，科学配置党政部门及内设机构权力,C
138,71385,单选题,4,习近平总书记指出，要以提高发展质量和效益为中心，以支撑供给侧结构性改革为主线，把提高供给体系质量作为主攻方向，推动经济发展（），显著增强我国经济质量优势。①质量变革；②效率变革；③动力变革；④体制变革；⑤方式变革,①②③,②③④,②④⑤,①②⑤,A
138,10552,单选题,4,发展是解决我国一切问题的基础和关键，发展必须是科学发展，必须坚定不移贯彻（）的发展理念。,创新、协调、绿色、开放、共享,创造、协调、生态、开放、共享,创新、统筹、绿色、开放、共享,创造、统筹、生态、开放、共享,A
138,66316,单选题,4,中国梦是国家的梦、民族的梦，归根到底是（）。,国家的梦,民族的梦,人民的梦,个人的梦,C
138,71381,单选题,4,经济体制改革必须以（）和（）为重点，实现产权有效激励、要素自由流动、价格反应灵活、竞争公平有序、企业优胜劣汰。,完善产权制度要素市场化配置,要素市场化配置建立现代财政制度,建立现代财政制度创新和完善宏观调控,完善产权制度创新和完善宏观调控,A
138,71396,单选题,4,党的十九大报告指出，坚持（），推动形成陆海内外联动、东西双向互济的开放格局。,双向开放,全面开放,公平开放,共赢开放,B
138,66321,单选题,4,党的十九大报告指出，（）是引领发展的第一动力，是建设现代化经济体系的战略支撑。,改革,创新,开放,科技,B
138,71354,单选题,4,党的十九大对我国社会主义所处历史阶段作出“两个没有变”的重大判断，具体是指（）。①我国仍处于并将长期处于社会主义初级阶段的基本国情没有变；②我国现阶段社会主要矛盾没有变；③我国改革开放的基本国策没有变；④我国是世界上最大发展中国家的国际地位没有变,①②,②④,①④,②③,C
138,71410,单选题,4,党的十九大报告提出，制定国家（），依法赋予监察委员会职责权限和调查手段，用（）取代“双规”措施。,监察法留置,监察法拘留,反腐败法留置,反腐败法拘留,A
138,71391,单选题,4,党的十九大报告指出，深化农村土地制度改革，完善（）制度。,承包地“三权”分置,适度规模经营,农业社会化服务,国家粮食安全,A
138,71400,单选题,4,深化党和国家机构改革，要构建系统完备、科学规范、运行高效的党和国家机构（）。,治理体系,领导体系,组织体系,职能体系,D
138,71403,单选题,4,习近平总书记指出，新时代多党合作舞台极为广阔，要用好（）这个民主形式和制度渠道，有事多商量、有事好商量、有事会商量，通过协商凝聚共识、凝聚智慧、凝聚力量。,人大协商,政党协商,政府协商,人民团体协商,B
138,71384,单选题,4,经过40年的改革开放，我国经济正在实现从引进来到（）的重大转变。,走出去,引进来和走出去并重,以引进来为主走出去为辅,以走出去为主引进来为辅,B
138,71392,单选题,4,党的十九大报告明确，保持土地承包关系稳定并长久不变，第二轮土地承包到期后再延长（）年。,二十,三十,四十,五十,B
138,71390,单选题,4,习近平总书记在中国共产党成立95周年大会上指出，（）是当代中国最鲜明特色，是我们党在新的历史时期最鲜明的旗帜。,创新发展,改革开放,解放思想,以经济建设为中心,B
138,71352,单选题,4,党的十九大的主题是不忘初心，（），高举中国特色社会主义伟大旗帜，决胜全面建成小康社会，夺取新时代中国特色社会主义伟大胜利，为实现中华民族伟大复兴的中国梦不懈奋斗。,继续前进,牢记使命,方得始终,砥砺前行,B
138,71397,单选题,4,中国共产党领导人民发展社会主义民主政治，广开言路，建立健全民主选举、民主决策、（）、民主监督的制度和程序。,民主参与,民主管理,民主测评,民主建言,B
138,66314,单选题,4,习近平新时代中国特色社会主义思想的核心内容包括（）。,“8个明确”“14个坚持”,“8个明确”“8个坚持”,“14个明确”“8个坚持”,“14个明确”“14个坚持”,A
138,66323,单选题,4,党的十九大报告指出，（）是坚持党的领导、人民当家作主、依法治国有机统一的根本政治制度安排。,人民代表大会制度,多党合作和政治协商制度,民族区域自治制度,基层群众自治制度,A
138,71372,单选题,4,决胜全面建成小康社会，要紧扣我国社会主要矛盾变化，综合施策、精准发力，特别是要坚决打好（）三大攻坚战。①防范化解重大风险；②精准脱贫；③污染防治；④推进国家治理体系和治理能力现代化,①②③,②③④,①②④,①③④,A
138,9846,单选题,4,从（）到（），是“两个一百年”奋斗目标的历史交汇期。,2020年2035年,十九大二十大,二十大二十一大,2035五年本世纪中叶,B
138,47236,单选题,4,党的十九大指出，发挥市场在资源配置中的（）作用，更好发挥政府作用，建立完善的宏观调控体系。,基础性,关键性,决定性,支柱性,C
138,71358,单选题,4,关于中国特色社会主义进入了新时代，下列理解不正确的是（）。,这是承前启后、继往开来、在新历史条件下继续夺取中国特色社会主义伟大胜利的时代,这是全面建设小康社会、开启社会主义现代化新征程的时代,这是全国各族人民团结奋斗、不断创造美好生活、逐步实现全体人民共同富裕的时代,这是全体中华儿女勠力同心、奋力实现中华民族伟大复兴中国梦的时代,B
138,47235,单选题,4,我国经济已由（）阶段转向（）阶段，正处在转变发展方式、优化经济结构、转换增长动力的攻关期，建设现代化经济体系是跨越关口的迫切要求和我国发展的战略目标。,高速增长高水平发展,高速发展高水平发展,高速增长高质量发展,高速发展高质量发展,C
138,71366,单选题,4,中国特色社会主义进入新时代，我国社会主要矛盾已经转化为人民日益增长的（）和（）之间的矛盾。,美好生活需要相对落后生产,精神文化需要不平衡不充分的发展,幸福生活需要物质文化相对落实,美好生活需要不平衡不充分的发展,D
138,71367,单选题,4,（）是新时代坚持和发展中国特色社会主义根本立场。,以经济建设为中心,以人民为中心,宪法至上,一切有利于生产力发展,B
138,71389,单选题,4,经过40年的改革开放，我国经济已经出现了（）“三头”对外深度融合的新局面。①市场；②资源能源；③投资；④核心技术,①②③,②③④,①②④,①③④,A
138,71388,单选题,4,习近平总书记在在深入推动长江经济带发展座谈会上强调，要加快形成全社会共同参与的（）格局。,生态文明建设,共抓大保护、不搞大开发,经济高质量发展,开发与保护并重,B
138,27420,单选题,4,中国共产党人的初心和使命，就是为中国人民（），为中华民族（）。这个初心和使命是激励中国共产党人不断前进的根本动力。,谋幸福谋未来,谋生活谋复兴,谋幸福谋复兴,谋生活谋未来,C
138,71409,单选题,4,习近平总书记强调，加强党内法规制度建设是全面从严治党的长远之策、根本之策，必须坚持依法治国与制度治党、依规治党统筹推进、一体建设，力争到（）时形成比较完善的党内法规制度体系。,2035年,2020年,建党100周年,建国100周年,C
138,71357,单选题,4,全党同志要坚定“四个自信”。“四个自信”是指（）。①道路自信②理论自信③制度自信④文化自信⑤体制自信⑥思想自信,①②③④,①②④⑤,②③④⑤,②③④⑥,A
138,71375,单选题,4,关于坚持全面依法治国，以下理解不正确的是（）。,坚持依法治国、依法执政、依法行政共同推进,坚持法治国家、法治政府、法治社会一体建设,坚持依法治国和以德治国相结合,坚持依法立法和依惯例立法相结合,D
138,71386,单选题,4,习近平总书记指出，（）三大战略，是今后一个时期要重点拓展的发展新空间，要有力有序推进。①“一带一路”建设；②京津冀协同发展；③长江经济带；④长三角一体化,①②③,②③④,①②④,①③④,A
138,71398,单选题,4,（）是我们党和国家的根本组织制度和领导制度。,民主集中制,人民代表大会制度,人民民主专政,巡视制度,A
138,71407,单选题,4,习近平总书记强调，全面深化改革必须更加注重改革的（）,系统性、整体性、协同性,全面性、前瞻性、针对性,整体性、协同性、实效性,探索性、引领性、创新性,A
138,71362,单选题,4,习近平总书记在十八届中央政治局第四十三次集体学习时指出，在人类思想史上，就（）、传播面而言，没有一种思想能够达到马克思主义的高度，也没有一种学说能够像马克思主义那样对世界产生了如此巨大的影响。,科学性、真理性、影响力,科学性、实践性、影响力,真理性、实践性、引导力,科学性、真理性、凝聚力,A
138,71360,单选题,4,共产党宣言是第一次全面阐述（）原理的伟大著作。,科学社会主义,科学社会主义,社会主义,共产主义,B
138,71408,单选题,4,习近平总书记指出，（）是一个根本问题，处理的好则法治兴、党兴、国家兴，处理的不好，则法治衰、党衰、国家衰。,党和法的关系,立法和执法的关系,权和法的关系,立法和司法的关系,A
138,66324,单选题,4,走中国特色社会主义政治发展道路，必须坚持党的领导、人民当家作主、依法治国有机统一。（）是社会主义民主政治的本质特征。,党的领导,人民当家作主,依法治国,政治体制改革,B
138,71393,单选题,4,设立（）新区，是以习近平同志为核心的党中央深入推进京津冀协同发展作出的一项重大决策部署。,雄县,雄安,安新,滨海,B
