question,options,right_answer
"《关于党风廉政建设和反腐败斗争论述摘编》提出,以()态度惩治腐败,坚决遏制腐败现象蔓延势头","['坚决', '零容忍', '适可而止', '立足本届']",['零容忍']
"党的十八大以来,在新中国成立特别是改革开放以来我国发展取得的重大成就基础上,党和国家事业发生历史性变革,我国发展站到了新的历史起点上,意味着近代以来久经磨难的中华民族实现了从站起来、富起来到()的历史性飞跃.","['好起来', '快起来', '绿起来', '强起来']",['强起来']
"习近平总书记在纪念新华社成立会议上指出,新华社的前身是()","['中国通讯社', '中华通讯社', '红色中华通讯社', '红色中国通讯社']",['红色中华通讯社']
我国科学技术界和工程技术界最高学术机构分别为(),"['国家技术院；国家工程院', '中国电力研究学院；中国铁路工程研究院', '中国科学院；中国工程院', '中国技术院；中国工程技术研究院']",['中国科学院；中国工程院']
"党的十八届五中全会强调,要实施哲学社会科学创新工程,建设中国特色新型智库.","['正确', '错误']",['正确']
解放和发展社会主义生产力是社会主义的本质要求,"['正确', '错误']",['正确']
"《党章》规定,当党员对党的决议和政策有不同意见时,下列说法中,正确的应该是()","['可以不执行党的决议和政策', '在坚决执行的前提下,可以声明保留,并且可以把自己的意见向党的上级组织直至中央提出', '必须坚决执行,不可以声明保留,也不允许向上级组织提出', '在不执行的同时,向上级组织提出']","['在坚决执行的前提下,可以声明保留,并且可以把自己的意见向党的上级组织直至中央提出']"
全面推进惩治和预防腐败体系建设是全党的重大政治任务和()的共同责任.,"['全社会', '少数人', '领导干部', '全体党员干部']",['全体党员干部']
"中国特色社会主义政治发展道路,是近代以来中国人民长期奋斗历史逻辑、理论逻辑、实践逻辑的必然结果,是坚持党的本质属性、践行党的根本宗旨的必然要求.","['正确', '错误']",['正确']
进一步发展和壮大由全体社会主义劳动者、社会主义事业的建设者、拥护社会主义的爱国者、拥护祖国统一和致力于()的爱国者组成的最广泛的爱国统一战线.,"['中国人民伟大复兴', '中华民族伟大复兴', '中国伟大崛起', '中国统一']",['中华民族伟大复兴']
"《党章》规定,对党员的纪律处分,必须经过()讨论决定,报党的基层委员会批准.","['支部大会', '委员会会议', '总支部委员会会议', '以上都不是']",['支部大会']
下列哪项不是新党章增加的战略().,"['创新驱动发展战略', '乡村振兴战略', '区域协调发展战略', '可持续发展战略']",['可持续发展战略']
"习近平总书记强调,2016年党风廉政建设和反腐败工作的总体要求是：全面贯彻党的十八大和十八届三中、四中、五中全会精神,协调推进“()全面”战略布局,保持坚强政治定力,","['三个', '四个', '五个', '六个']",['四个']
()是中国特色社会主义最本质的特征,"['人民民主专政', '全面深化改革', '坚持党的领导']",['坚持党的领导']
"加强农村基层基础工作,健全自治、法治、德治相结合的乡村治理体系.","['正确', '错误']",['正确']
"对党的中央委员会和地方各级委员会的委员、候补委员,给以撤销党内职务、留党察看或开除党籍的处分,必须由本人所在的委员会全体会议()以上的多数决定.","['二分之一', '三分之二', '四分之三', '五分之四']",['三分之二']
()问题是工业化城镇化进程中城乡关系失衡的本质,"['农业', '农村', '农民', '以上都有']",['以上都有']
"我国社会主要矛盾的变化,没有改变我们对我国社会主义所处历史阶段的判断,我国仍处于并将长期处于社会主义初级阶段的基本国情没有变,我国是世界最大发展中国家的国际地位没有变.","['正确', '错误']",['正确']
"我们要坚持党正确人民军队的()领导,全面贯彻新时代党的强军思想.","['全面', '总体', '相对正确', '绝对正确']",['绝对正确']
"在党的十九大上,习近平同志指出要着力解决(&nbsp;)环境问题","['贫困地区的', '突出的', '范围广的', '落后地区的']",['突出的']
"对党的纪律处分必须经过支部大会讨论决定,报党的()批准.","['上级委员会', '下级委员会', '支部委员会', '基层委员会']",['基层委员会']
"共享理念实质就是坚持以人民为中心的发展思想,体现的是逐步实现同步富裕的要求.","['正确', '错误']",['错误']
我国仍将处于并将长期处于()阶段.,"['社会主义中级', '社会主义初级']",['社会主义初级']
"人民政协是具有中国特色的制度安排,是社会主义协商民主的重要渠道和专门协商机构","['正确', '错误']",['正确']
科技创新必须摆在国家发展全局的关键位置,"['正确', '错误']",['错误']
"金砖国家新开发银行筹建工作全面展开,应急储备安排正式启动,充分证明了金砖国家合作的有效性和行动力.","['正确', '错误']",['正确']
习近平2014年5月21日在亚洲相互协作与信任措施会议第四次峰会上发表讲话.亚信是亚洲覆盖范围最大、成员数量最多、代表性最广的地区安全论坛.,"['正确', '错误']",['正确']
".党的基层委员会每届任期三年至五年,总支部委员会、支部委员会每届任期().","['三年或五年', '一年或两年', '两年或三年', '三年或四年']",['两年或三年']
"中国()亚投行充分借鉴现有多边开发银行的经验和做法,在治理结构、业务政策、人力资源管理等方面坚持国际性","['反对', '赞成', '不支持', '不反对']",['赞成']
弘扬以()为核心的民族精神和以()为核心的时代精神.,"['爱国主义改革创新', '爱国主义创新创业', '民族主义改革创新', '民族主义创新创业']",['爱国主义改革创新']
"党的思想路线是一切从实际出发,理论联系实际,()在实践中检验真理和发展真理.","['实事求是', '开拓创新', '解放思想', '求真务实']",['实事求是']
"要坚持以经济建设为中心,以科学发展为主题,以造福人民为()","['根本目标', '基本目标', '根本目的', '基本目的']",['根本目的']
"党的各级领导干部必须具有(),坚决执行党的基本路线和各项方针、政策,立志改革开放,献身现代化事业,在社会主义建设中艰苦创业,做出实绩.","['共产主义远大理想', '中国特色社会主义理想', '共产主义远大理想和中国特色社会主义坚定信念']",['共产主义远大理想和中国特色社会主义坚定信念']
"海纳百川,有容乃大.人类创造的各种文明都是劳动和智慧的结晶.","['正确', '错误']",['正确']
以下说法错误的是().,"['犯党员表决权、选举权和被选举权,情节严重的应给予开除党内职务处分.', '以考察、学习、培训、研讨、招商等名义变相公款出国旅游的对直接责任者和领导责任者情节严重的,给予开除党籍处分.', '违纪的党员主动退出违纪违法多得,可以依照规定减轻处分.', '党员违纪受到党纪处分后,又被发现其受处分前的违纪行为应当受到党纪处分的,可以从轻处分.']","['党员违纪受到党纪处分后,又被发现其受处分前的违纪行为应当受到党纪处分的,可以从轻处分.']"
党的()纪律是密切党与群众血肉联系的重要保证.,"['政治', '组织', '经济工作', '群众工作']",['群众工作']
"党章指出,凡是有正式党员()以上的,都应该成立党的基层组织.","['三人', '五人', '七人', '十人']",['三人']
"不断提高人民生活水平,必须坚定不移把发展作为党执政兴国的().","['最终目标', '第一要务', '基本要求', '首要任务']",['第一要务']
"习近平在中国文联十大、中国作协九大开幕式上讲话中说道,文艺自信是更基础、更广泛、更深厚的自信,是更基本、更深沉、更持久的力量.","['正确', '错误']",['错误']
"明斯克2号、5号、卢科姆尔和别列佐夫等电站改造项目成功实施,为白俄罗斯发展经济提供了电力支持","['正确', '错误']",['正确']
"按照联合国标准,中国还有()亿左右人口生活在贫困线以下.","['一', '二', '三', '四']",['二']
"根据中国共产党巡视工作条例,()有义务向巡视组如实反映情况.","['群众', '公民', '党员', '公务员']",['党员']
中国在英国的留学生超过()万,"['11', '12', '13', '15']",['15']
"中共中央政治局党史学习教育专题民主生活会认为,百年党史给我们的一个重要启示就是,坚决维护党中央的核心、全党的核心是党在重大时刻凝聚共识、果断抉择的关键,是党团结统一、胜利前进的重要保证.","['正确', '错误']",['正确']
中国外交政策的宗旨就是维护世界和平、促进共同发展.,"['正确', '错误']",['正确']
党员的党龄从()开始算起.,"['预备期满转为正式党员之日', '预备党员之日', '入党积极分子之日', '预备期满一年之日']",['预备期满转为正式党员之日']
"习近平在中国文联十大、中国作协九大开幕式上讲话中说道,对文艺来讲,思想和价值观念是灵魂,一切表现形式都是表达一定思想和价值观念的载体.","['正确', '错误']",['正确']
"坚持“一国两制”和推进祖国统一.保持香港、澳门长期繁荣稳定,实现祖国完全统一,是实现中华民族伟大复兴的必然要求.","['正确', '错误']",['正确']
"以党的十九大胜利召开为标志,中国步入“两个一百年”奋斗目标的历史交汇期,与此同时,国内外形势正发生着深刻复杂的变化,我国发展仍处于重要战略(),前景十分光明,挑战十分严峻.","['萌芽期', '机遇期', '发展期', '完善期']",['机遇期']
今年是中央电视台暨新中国电视事业诞生()周年.,"['60', '65', '70', '75']",['60']
"建设社会主义(),实行依法治国和以德治国相结合.","['精神文明', '生态文明', '道德文明', '文化文明']",['精神文明']
循环经济的特征是().,"['能量梯次使用', '以上都是', '物质闭路循环', '以上都不是']",['以上都是']
"中国作为人口最多的发展中国家的基本国情和定位已经改变,发展已不是我们的第一要务.","['正确', '错误']",['错误']
()是党内最高处分.,"['留党察看', '撤销党内职务', '严重警告', '开除党籍']",['开除党籍']
"实施创新驱动发展战略,最根本的是要破除体制机制障碍","['正确', '错误']",['错误']
"()同全国各民族工人、农民、知识分子团结在一起,同各民主党派、无党派人士、各民族的爱国力量团结在一起.","['习近平', '中国共产党', '党中央', '中共中央政治局']",['中国共产党']
"巩固和发展爱国统一战线.统一战线是党的事业取得胜利的重要法宝,必须长期坚持","['正确', '错误']",['正确']
"研究依规治党这一重大课题,必须坚持法严于纪、法在纪前.","['正确', '错误']",['错误']
"中国共产党领导人民发展社会主义市场经济,毫不动摇地巩固和发展().","['国营经济', '集体经济', '非公有制经济', '公有制经济']",['公有制经济']
习近平总书记于()年首次提出并阐释了“红船精神”,"['2005', '2006', '2007', '2008']",['2005']
"一个中国原则是两岸关系的政治基础.体现一个中国原则的“九二共识”明确界定了两岸关系的根本性质,是确保两岸关系和平发展的关键.","['正确', '错误']",['正确']
"为支持全球妇女事业和联合国妇女署工作,中国将向妇女署捐款()万美元,用于支持落实《北京宣言》和《行动纲领》","['700', '800', '900', '1000']",['1000']
"习近平在亚洲相互协作与信任措施会议第四次峰会上发表讲话.今天的亚洲,拥有全世界67%的人口和三分之一的经济总量,是众多文明、民族的汇聚交融之地.亚洲和平发展同人类前途命运息息相关,亚洲稳定是世界和平之幸,亚洲振兴是世界发展之福.","['正确', '错误']",['正确']
()是民族振兴和社会进步的重要基石,"['经济', '对外开放', '科技', '教育']",['教育']
"中国已经多次宣布,中国奉行()性的国防政策","['防御', '攻击', '好战', '反战']",['防御']
"习近平在中国文联十大、中国作协九大开幕式上讲话中说道,任何一个时代的文艺,只有同国家和民族紧紧维系、休戚与共,才能发出振聋发聩的声音.","['正确', '错误']",['正确']
"《关于党风廉政建设和反腐败斗争论述摘编》提出,以()态度惩治腐败,坚决遏制腐败现象蔓延势头.","['坚决', '零容忍', '适可而止', '立足本届']",['零容忍']
"党的十九大报告指出,中国特色社会主义制度是当代中国发展进步的根本制度保障,()是激励全党全国各族人民奋勇前进的强大精神力量.","['社会主义精神文明建设', '思想道德建设', '中国特色社会主义文化']",['中国特色社会主义文化']
"改革全面发力、多点突破、纵深推进,着力增强改革系统性、()、协同性.","['整体性', '单一性', '全面性', '重点性']",['整体性']
"习近平总书记同欧盟领导人一致商定,要打造中欧()文明四大伙伴关系","['和平', '改革', '增长', '以上都是']",['以上都是']
"决胜全面建成小康社会,夺取新时代中国特色社会主义伟大胜利——在中国共产党第十九次全国代表大会上的报告指出：实现中华民族伟大复兴,必须建立符合我国实际的先进社会制度.","['正确', '错误']",['正确']
"《中国共产党纪律处分条例》规定,故意违纪受处分后又因故意违纪应当受到党纪处分的,应当()处分.","['从轻', '减轻', '从重', '从重']",['从重']
人民解放军的作用不包括下列哪项？(),"['在巩固国防', '保卫祖国', '反恐处突', '参加社会主义现代化建设']",['反恐处突']
"为改革开放和社会主义现代化建设提供强大的思想保证、精神动力和智力支持,建设社会主义()强国.","['政治', '思想', '文化', '道德']",['文化']
"十九大报告提出,我国经济已由高速增长阶段转向高质量发展阶段,正处在转变发展方式,优化经济结构,转换增长动力的攻关期,()是跨越关口的迫切需求和我国发展的战略目标.","['巩固和发展初步达到的小康水平', '建设现代化经济体系', '实现工业化和经济的社会化,市场化,现代化', '提高服务行业的比例']",['建设现代化经济体系']
下列哪项不是改革过程中需要更加注重的性质？(),"['.协同性', '系统性', '整体性', '创新性']",['创新性']
"景德镇陶瓷走向世界,把千年古镇演进为中国化的文化之都,让景德镇成为一座与世界对话的城市.其中主要体现了().","['文化输出', '文化繁荣', '文化交流', '文化自信']","['文化输出', '文化交流', '文化自信']"
中共()提出了创新、协调、绿色、开放、共享的发展理念.,"['十七届三中全会', '十七届五中全会', '十八届三中全会', '十八届五中全会']",['十八届五中全会']
"党在社会主义初级阶段的基本路线的：领导和团结全国(),以经济建设为中心,坚持四项基本原则,坚持改革开放,自力更生,艰苦创业,为把我国建设成为富强民主文明和谐美丽的社会主义现代化强国而奋斗.","['各族人民', '各地人民', '各族公民', '各地公民']",['各族人民']
"中国是第()个在联合国宪章上签字的国家,将继续维护以联合国宪章宗旨和原则为核心的国际秩序和国际体系","['四', '三', '二', '一']",['一']
"中国共产党在社会主义初级阶段的基本路线是：领导和团结全国各族人民,以经济建设为中心,坚持四项基本原则,坚持(),自力更生,艰苦创业,为把我国建设成为富强民主文明和谐美丽的社会主义现代化强国而奋斗.","['独立自主', '和平崛起', '改革开放', '创新创业']",['改革开放']
"习近平在中阿合作论坛第六届部长级会议开幕式上的讲话中指出：弘扬丝路精神,就是要促进文明互鉴.弘扬丝路精神,就是要尊重道路选择.弘扬丝路精神,就是要坚持合作共赢.弘扬丝路精神,就是要倡导对话和平.","['正确', '错误']",['正确']
文化是一个国家、一个民族的灵魂,"['正确', '错误']",['正确']
"2017年,中俄经贸合作克服了世界经济不景气、()等大宗商品价格波动大等不利影响","['原油', '石油', '柴油', '酱油']",['原油']
"党的十九大给老百姓带来了福利,在生态环境方面,党要求持续实施()防治行动,打赢蓝天保卫战.","['大气污染', '雾霾', '灰尘污染', '工业废水污染']",['大气污染']
"中国在国际金融危机期间我们同()社会风雨与共,为世界经济复苏发挥了“稳定器”和“发动机”的作用.","['美', '英', '法', '国际']",['国际']
"党的十八届四中全会强调()是中国特色社会主义最本质的特征,是社会主义法治最根本的保证.","['人民当家作主', '依法治国', '法治与德治相结合', '党的领导']",['党的领导']
"坚持立党为公执政为民,始终保持党同人民群众的血肉联系是衡量党的先进性的根本标尺","['正确', '错误']",['正确']
"回首过去,我们经历了()经济持续增长,也承受了国际金融危机严重冲击.","['全球', '中国', '美国', '法国']",['全球']
"我国稳定解决了十几亿人的温饱问题,总体上实现小康,不久将全面建成小康社会.中国特色社会主义进入新时代,我国社会主要矛盾已经转化为人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾.","['正确', '错误']",['正确']
"“明者因时而变,知者随事而制.”形势在发展,时代在进步.应积极倡导共同、综合、合作、可持续的亚洲安全观,创新安全理念,搭建地区安全和合作新架构,努力走出一条共建、共享、共赢的亚洲安全之路.","['正确', '错误']",['正确']
"()是一个国际性的金融机构,其规章制度和运作要由各成员国协商决定","['亚投行', '高投行', '大投行', '小投行']",['亚投行']
"习近平同志指出：“中国要出问题主要出在共产党内,我们党要出问题主要出在.”","['领导身上', '干部身上', '党员身上', '基层组织']",['干部身上']
"习近平总书记提出,到()把我国建成富强民主文明和谐美丽的社会主义现代化强国.","['本世纪中叶', '2020年', '2025年', '2030年']",['本世纪中叶']
"在新时代,中华民族迎来了从()到强起来的伟大飞跃.","['富起来', '站起来']",['富起来']
"从2020年到2035年,基本实现:生态环境()美丽中国目标基本实现","['根本好转', '根本转化', '根本转变', '根本扭转']",['根本好转']
经济建设要把()作为主攻方向.,"['增加产品数量', '加快发展速度', '提高供给体系质量', '提高产品质量']",['提高供给体系质量']
"党的十九大报告指出,全面推进中国特色大国外交,形成全方位、()、立体化的外交布局,为我国发展营造了良好外部条件.","['多方向', '多层次', '多元化', '多角度']",['多层次']
2018年是中非合作论坛成立()周年,"['16', '17', '18', '15']",['18']
"()是人民当家作主和依法治国的根本保证,()是社会主义民主政治的本质特征,()是党领导人民治理国家的基本方式①依法治国②人民当家作主③党的领导","['①②③', '②③①', '③②①', '②①③']",['③②①']
共产党员有权对党的工作提出(),"['建议和倡议', '批评和建议', '批评和指正', '批评和倡议']",['建议和倡议']
"改革开放应当大胆探索,勇于开拓,提高改革决策的科学性,更加注重改革的系统性、整体性、协同性,在()中开创新路.","['发展', '探索', '尝试', '实践']",['实践']
"形成节约资源和保护环境的空间格局、产业结构、生产方式、生活方式,为人民创造良好生产生活环境,实现中华民族()发展.","['持续', '永远', '永久', '永续']",['永续']
"据商务部2017年11月有关报道,预计未来()年中国将进口超过10万亿美元的商品,对外投资规模将超过5000亿美元.","['5', '6', '7', '8']",['5']
()同志在党的十六大至十八大10年间担任中央总书记,"['胡锦涛', '习近平', '江泽民', '邓小平']",['胡锦涛']
要巩固全党全国人民团结奋斗的共同()基础.,"['理论', '政治', '经济', '思想']",['思想']
"习近平总书记在纪念总工会会议上指出,中华全国总工共会工作方针是()","['以经济建设为中心', '为人民服务', '虚心向人民群众学习', '坚持走群众路线']",['以经济建设为中心']
“四个意识”指的是：()意识、大局意识、核心意识、看齐意识,"['经济', '文化', '政治', '生态']",['政治']
"2014年7月15日,习近平在接受拉美四国媒体联合采访提到：中国与委内瑞拉关系正处在承前启后、继往开来的重要阶段.","['正确', '错误']",['正确']
"深化农村土地制度改革,需要完善()“三权”分置制度.","['承包地', '所有土地', '宅基地', '租用地']",['承包地']
以下哪一选项不是中华民族的根本利益所在(),"['维护国家主权', '维护国家领土完整', '人民当家做主', '实现祖国完全统一']",['人民当家做主']
经济发展要把提高供给体系质量作为主攻方向.,"['正确', '错误']",['正确']
"《党章》规定,党组织对违犯党的纪律的党员,应当本着()的精神,按照错误性质和情节轻重,给以批评教育直至纪律处分.","['从严治党', '批评与自我批评', '惩前毖后,治病救人', '严肃纪律']","['惩前毖后,治病救人']"
中国是有着悠久文明的国家.中国是经历了深重苦难的国家.中国是实行中国特色社会主义的国家.中国是世界上最大的发展中国家.中国是正在发生深刻变革的国家.,"['正确', '错误']",['正确']
能源技术发展将为解决能源问题提供主要途径,"['正确', '错误']",['正确']
"我国经济保持()增长,在世界主要国家中名列前茅,稳居世界第二.","['高速', '中高速', '低速', '稳速']",['中高速']
"中国特色社会主义制度更加完善,国家治理体系和治理能力现代化水平明显提高.","['正确', '错误']",['正确']
"一个民族、一个人能不能把握自己,很大程度上取决于.","['价值', '核心价值', '政治价值', '道德价值']",['道德价值']
()希望在中国金融市场发展过程中扮演重要角色,"['伦敦', '曼彻斯特', '利物浦', '奥德斯']",['伦敦']
"()是决定当代中国命运的关键抉择,是党和人民事业大踏步赶上时代的重要法宝.","['全面建成小康社会', '改革开放', '依法治国', '从严治党']",['改革开放']
"马克思列宁主义揭示了(),它的基本原理是正确的,具有强大的生命力.","['人类改造客观世界的规律', '社会主义和共产主义运动的规律', '人类社会历史发展的规律', '资本主义社会发展规律']",['人类社会历史发展的规律']
"党的各级代表大会的代表和委员会的产生,要体现选举人的意志.选举人有了解候选人情况、()的权利.任何组织和个人不得以任何方式强迫选举人选举或不选举某个人.","['不选候选人和另选他人', '要求改变候选人和另选他人', '不选候选人和要求改变候选人', '要求改变候选人、不选任何一个候选人和另选他人']",['要求改变候选人、不选任何一个候选人和另选他人']
"新党章提出要更好发挥(),建立完善的宏观调控体系.","['政府作用', '市场作用', '企业作用', '社会作用']",['政府作用']
"习近平在十九届中央纪委六次全会上指出,今年是党的十八大以来第十个年头,十年磨一剑,党中央把全面从严治党纳入“四个全面""战略布局,以前所未有的勇气和定力推进党风廉政建设和反腐败斗争,刹住了一些多年未刹住的歪风邪气,解决了许多长期没有解决的顽瘴痼疾,清除了党、国家、军队内部存在的严重隐患,管党治党宽松软状况得到根本扭转,探索出依靠党的自我革命跳出历史周期率的成功路径.","['正确', '错误']",['正确']
"党中央于2016年颁布的《国家创新驱动发展战略纲要》明确,我国科技事业发展的目标是,到2020年时使我国进入创新型国家行列,到2030年时使我国进入创新型国家前列.","['正确', '错误']",['正确']
"要从根本上改革束缚生产力发展的经济体制,坚持和完善()市场经济体制.","['新时代社会主义', '社会主义', '新时期社会主义', '共产主义']",['社会主义']
()创新是提高社会生产力和综合国力的战略支撑,"['文化', '思想', '道路', '科技']",['科技']
"中国共产党坚持实行和不断完善()制度,积极培养、选拔少数民族干部,帮助各少数民族地区发展经济、文化,实现各民族的共同繁荣和全面进步.","['民族区域自治', '人民代表大会', '共产党领导的多党合作', '政治协商']",['民族区域自治']
"习近平在纪念邓小平同志诞辰110周年座谈会上提出,社会主义的本质是解放发展生产力","['正确', '错误']",['正确']
"中国共产党坚持独立自主的和平外交政策,坚持()的开放战略.","['合作互利', '互利共赢', '合作共赢', '双赢']",['互利共赢']
"在十九大关于生态文明体制改革报告中,属于加大生态系统保护力度措施的是().","['开展国土绿化行动,推进荒漠化、石漠化、水土流失综合治理', '完善生态环境管理制度', '推进能源生产和消费革命,构建清洁低碳、安全高效的能源体系', '加强农业面源污染防治']","['开展国土绿化行动,推进荒漠化、石漠化、水土流失综合治理']"
"在新时期广泛开展(),筹办好北京冬奥会、冬残奥会,加强中外人文交流,以我为主,兼收并蓄.","['全民健身运动', '全民读书运动', '全民创新运动', '全民服务运动']",['全民健身运动']
()是党领导人民治理国家的基本方式.,"['依法执政', '依法治国', '有法必依', '违法必究']",['依法治国']
"中国共产党在社会主义初级阶段的基本路线是：领导和团结全国各族人民,以经济建设为中心,坚持四项基本原则,坚持改革开放,自力更生,艰苦创业,为把我国建设成为富强民主文明和谐美丽的社会主义()强国而奋斗.","['现代化', '民主化法治化', '法治化', '创新型']",['现代化']
()是持续发展的必然要求,"['创新', '共享', '协调', '以上都是']",['协调']
"1978年,党中央召开全国科学大会,()同志在大会上作出科学技术是生产力的重要论断,我国迎来“科学的春天”.","['习近平', '江泽民', '邓小平']",['邓小平']
正确对待和深刻反省日本军国主义的侵略历史是建立和发展中日关系的重要政治基础,"['正确', '错误']",['正确']
"中国政府支持企业走出去,但强调要坚持以()为主体,以市场为导向.","['企业', '人民', '国家', '利益']",['企业']
"经济建设需要发挥优势推动西北地区崛起,创新引领率先实现东部地区优化发展.","['正确', '错误']",['错误']
"按照()的方针,促进香港、澳门长期繁荣稳定,完成祖国统一大业.","['一国两制', '一个国家、两种制度', '九二共识', '和平共处五项原则']",['一个国家、两种制度']
"推动构建()共同体,推动建设持久和平、共同繁荣的和谐世界.","['人类命运', '世界命运', '人类利益', '人类前途']",['人类命运']
中国外交政策的优先方向是以下哪项,"['双方不冲突不对抗', '相互尊重', '合作共赢', '以上都是']",['以上都是']
"1949年建立了中华人民共和国,实现了中国从几千年封建专制政治向人民民主的伟大飞跃.实现中华民族伟大复兴,必须推翻压在中国人民头上的帝国主义、封建主义、官僚资本主义三座大山,实现民族独立、人民解放、国家统一、社会稳定.","['正确', '错误']",['正确']
"建设()强国是中华民族伟大复兴的基础工程,必须把()事业放在优先位置","['教育', '经济', '政治', '文化']",['教育']
"中国宣布建立规模为()亿元人民币的气候变化南南合作基金,用以支持其他发展中国家.","['100', '150', '200', '250']",['200']
中俄两国政府间投资合作委员会2017年确定了新一批()个合作项目清单,"['71', '72', '73', '74']",['73']
“国培计划”全称为以下哪一选项(),"['2010“国家级中小学教师培训计划”', '2010全国教师培养计划', '2010中小学老师培养计划', '2010中小学教师“国家级培养计划”']",['2010中小学教师“国家级培养计划”']
"中国特色社会主义进入新时代,我国社会主要矛盾已经转化为人民日益增长的美好生活需要和()的发展之间的矛盾","['不平衡不充分', '落后的社会生产', '生产私有制', '生产公有制']",['不平衡不充分']
"巴基斯坦为中国提供同世界联系的空中走廊,支持中国恢复联合国合法席位","['正确', '错误']",['正确']
"力争到2045年基本实现国防和军队现代化,到本世纪中叶把人民军队全面建成世界一流军队","['正确', '错误']",['错误']
"中国特色社会主义进入新时代,我国社会主要矛盾已经转化为人民日益增长的()需要和不平衡不充分的发展之间的矛盾","['物质生活', '美好生活', '精神生活']",['美好生活']
"要追求全面的发展,让发展基础更加坚实.发展的最终目的是为了().","['国家', '人民', '自己', '家庭']",['人民']
"习近平在省部级主要领导干部学习贯彻党的十八届五中全会精神专题研讨班上的讲话中强调,“十三五”时期,我国经济发展的显著特征就是进入().","['新思想', '新征程', '新常态', '新时代']",['新常态']
"党员如果没有正当理由,连续()不参加党的组织生活,或不交纳党费,或不做党所分配的工作,就被认为是自行脱党.","['三个月', '六个月', '九个月', '一年']",['六个月']
"确保农村稳定,为人民群众营造良好的生产生活环境,是实现、维护、发展好最广大农民根本利益的必然要求","['正确', '错误']",['正确']
"中巴合作的出发点和立足点是深化两国利益融合,携手共谋发展,为两国人民带来更多福祉","['正确', '错误']",['正确']
